|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00012412600335665047, "x": 0.00035269706859253347, "z": -0.03534278646111488}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.08}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.03}, "heading": 357, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169173363} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00019193554180674255, "x": 0.0003758763778023422, "z": -0.035262491554021835}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.07}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.02}, "heading": 357, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169174364} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00020769468392245471, "x": 0.00041688120109029114, "z": -0.03517545387148857}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.06}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.02}, "heading": 357, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169175365} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00024024704180192202, "x": 0.0004822181072086096, "z": -0.035071637481451035}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.05}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.01}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169176366} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.000249129458097741, "x": 0.0005186827620491385, "z": -0.03495658561587334}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.05}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.01}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169177368} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00026283730403520167, "x": 0.0005486088339239359, "z": -0.03483014553785324}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.04}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.01}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169178369} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00030271729337982833, "x": 0.000571868964470923, "z": -0.03470243513584137}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.04}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.01}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169179371} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0003261915408074856, "x": 0.0005917033413425088, "z": -0.03458062931895256}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.04}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.0}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169180372} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0003967078810092062, "x": 0.0006374684744514525, "z": -0.034455928951501846}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.04}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.0}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169181374} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0004593755293171853, "x": 0.0006933699478395283, "z": -0.03428759425878525}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.03}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.0}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169182375} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0005050583858974278, "x": 0.0007336914422921836, "z": -0.03416679427027702}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.03}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169183376} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.000546051247511059, "x": 0.000773032836150378, "z": -0.03403453156352043}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.03}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169184377} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0005757231265306473, "x": 0.0008239352027885616, "z": -0.03391684591770172}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.03}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169185377} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0006143065402284265, "x": 0.0008816277259029448, "z": -0.03377155587077141}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.03}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169186378} |
|   INFO | state_out_work:68 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0006462401361204684, "x": 0.0009321187972091138, "z": -0.033609215170145035}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.2417919, "x": 41.7146175, "z": 0.03}, "velocity": {"y": 0.01, "x": -0.01, "z": 0.0}, "heading": 358, "mode": "STABILIZE"}, "type": "state", "uavid": "drone0", "sendtimestamp": 1524169187383} |
